periode_data,wilayah,no_registrasi,kode_barang,alamat,type,lintang,bujur,keterangan
2024,KOTA ADM. JAKARTA TIMUR,JPO210800216,134010210001,JL. OTTO ISKANDAR DINATA (Depan MTH Square),JPO,-6.243861,106.868785,JPO Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800214,134010210001,JL. OTTO ISKANDAR DINATA (Depan Gelanggang Remaja) (JPO HALTE BUSWAY GELANGGANG REMAJA),JPO,-6.235225,106.867936,busway Dispenda Samsat Barat
2024,KOTA ADM. JAKARTA TIMUR,JPO210800341,134010210001,Jl. Raya Jakarta-Bogor RT.3/RW.7 Kelurahan Kampung Tengah Kecamatan Kramat Jati (Halte Pasar Induk),JPO,-6.2976505,106.8710971,Eks. Sudinhub Kota Adm. KOTA ADM. JAKARTA BARAT
2024,KOTA ADM. JAKARTA TIMUR,JPO210800342,134010210001,"Jl. Raya Bogor RW.7, Rambutan, Kec. Ciracas, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13540 (Halte Busway Pasar Kramat Jati)",JPO,-6.2941894,106.8721218,JPO PenyeberanganOrang (lift)
2024,KOTA ADM. JAKARTA TIMUR,JPO210800343,134010210001,"Jalan Raya Bogor, Rambutan, Ciracas, Kota KOTA ADM. JAKARTA TIMUR, 13830 (Halte Busway Harapan Bunda)",JPO,-6.3022245,106.8676217,JPO Penyebrangan Orang ( LIFT )
2024,KOTA ADM. JAKARTA TIMUR,JPO210800014,134010210001,JL. RAYA BOGOR (Depan RS Harapan Bunda) (JPO HALTE BUSWAY RS HARAPAN BUNDA),JPO,-6.302108,106.867999,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800258,134010210001,JL. D.I. PANJAITAN (JPO HALTE BUSWAY CAWANG SUTOYO),JPO,-6.245441,106.875789,JPO Penyebrangan Orang ( LIFT )
2024,KOTA ADM. JAKARTA TIMUR,JPO210800294,134010210001,JL. D.I. PANJAITAN (Simpang Penas Kalimalang),JPO,-6.239213,106.878179,Busway Jembatan Baru
2024,KOTA ADM. JAKARTA TIMUR,JPO210800364,134010210001,"Jl. Jend. Ahmad Yani RT.12/RW.5, Pisangan Timur, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13120 (Halte Busway Beacukai Ahmad Yani)",JPO,-6.2053482,106.8734957,Busway Taman Kota
2024,KOTA ADM. JAKARTA TIMUR,JPO210800270,134010210001,JL. JENDERAL AHMAD YANI (Depan Kantor BEA CUKAI) (JPO HALTE BUSWAY BEA CUKAI AHMAD YANI),JPO,-6.205545,106.873933,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800344,134010210001,"Jl. Jend. Ahmad Yani, RW.12, Kayu Putih, Kec. Pulo Gadung, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 10510 (Halte Busway Cempaka Putih)",JPO,-6.1741167,106.8765932,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800329,134010210001,"Jl. Jend. Ahmad Yani RT.15/RW.7, Cemp. Putih Tim., Kec. Cemp. Putih, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10510 (Halte Busway Kayu Putih Rawasari)",JPO,-6.2054015,106.8735431,JPO Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800256,134010210001,Jl. A. Yani dekat Rawasari Kel. Cempaka Putih Timur (Halte Busway Kayu Putih Rawasari),JPO,-6.187304,106.87557,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800345,134010210001,"Jl. DI. Panjaitan RT.2/RW.3, Cipinang Besar Utara, Kecamatan Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13350 (Halte Busway Pedati Prumpung)",JPO,-6.2205374,106.8742884,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800191,134010210001,JL. D.I. PANJAITAN (Depan Telkom Indonesia),JPO,-6.2203,106.874527,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800347,134010210001,"Jl. Utan Kayu Raya No.109b, RW.10, Utan Kayu Utara, Kec. Matraman, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13120 (Halte Busway Utan Kayu Rawamangun)",JPO,-6.2054015,106.8735431,Reguler
