video_id,link,title,published_at_utc,published_date_wib,published_time_wib,channel_id,channel_title,channel_subscribers,view_count,like_count,comment_count,is_short
oUy8Ktrs1ZI,https://www.youtube.com/watch?v=oUy8Ktrs1ZI,Viral Gojek di Lind4ss Anggota briMob kemarin pas demo #dpr #gojek #grab  #aksidemo #demomahasiswa,2025-08-29T06:11:57Z,8/29/2025,13:11:57,UCfNrqOHX7V4czLk4KJy-zvw,Aclem Garadag,48,5,0,0,TRUE
3TuQircp7II,https://www.youtube.com/watch?v=3TuQircp7II,Sambangi Keluarga K*rban Kapolri Minta Maaf Dan Akan Tindak Lanjuti Insiden Mobil Rantis L!nd4s Ojol,2025-08-29T06:11:13Z,8/29/2025,13:11:13,UCagkj8cSEPSn4JLXORqsEfg,Wonderful Shorts ,189,3963,6,4,TRUE
w0GlfnKuLgU,https://www.youtube.com/watch?v=w0GlfnKuLgU,Bener2 Nih oknum aparat brimob malah kaburr...#brimob #shortvideo #gojek #ojol #sorotan #fyp,2025-08-29T06:10:32Z,8/29/2025,13:10:32,UCTnDidcSaXqLgSaXE8IkrXQ,OE DEPET,0,0,0,0,TRUE
_uoxZ2-ZdQc,https://www.youtube.com/watch?v=_uoxZ2-ZdQc,Pasha Ungu di Kritik Salah Baca Doa #shorts,2025-08-29T06:10:28Z,8/29/2025,13:10:28,UCCD9G5THjQyV_2hJZ88Xg9A,Kang Gibah,34800,2055,20,2,TRUE
mtZPXFgByDM,https://www.youtube.com/watch?v=mtZPXFgByDM,Aisar Khaled Sedih dan Ngilu Lihat Gojek Korban Demo dan Ingin Bantu Keluarga Korban,2025-08-29T06:08:38Z,8/29/2025,13:08:38,UCtnGQBr9ErYla9ugRKrGILA,Naimatul Khairiah,26600,4004,72,1,TRUE
6RZfo_crWiU,https://www.youtube.com/watch?v=6RZfo_crWiU,selamat jalan kawan #rip #ojol #gojek #grab #maxim #dpr #indonesia #berduka #wtf #demo #sad #fyp,2025-08-29T06:07:35Z,8/29/2025,13:07:35,UC7fugT8iD_gd2mO_IFBgBjw,Shareen Queen Ashari,1180,1464,18,0,TRUE
3bOe-r6Oytg,https://www.youtube.com/watch?v=3bOe-r6Oytg,Tragedi Ojol & Mobil Taktis Brimob,2025-08-29T06:07:26Z,8/29/2025,13:07:26,UCitQFoVkD9Fln802bwXgliw,Solo Terkini,156,1604,4,0,TRUE
7G4rJk83GxA,https://www.youtube.com/watch?v=7G4rJk83GxA,tegas presiden RI #shortvideo #shorts #ojol #presidenri #president,2025-08-29T06:05:37Z,8/29/2025,13:05:37,UCCVLq_MOyD5sIQk3aT6uhuw,Barudak padu oyag,26800,1247,7,1,TRUE
btnsv_FMYGM,https://www.youtube.com/watch?v=btnsv_FMYGM,Semoga tidak adalagi korban #Gojek #Jakarta #Demo #DPR,2025-08-29T06:05:18Z,8/29/2025,13:05:18,UCqaMHYYNcXmc-CpYBmf0qLw,Cari Pahala,557,2,1,0,FALSE
wyE86wqd3So,https://www.youtube.com/watch?v=wyE86wqd3So,"#ojol#viralvideo  ojol lagi yg jadi korban , dimana kemanusiaan anda",2025-08-29T06:05:08Z,8/29/2025,13:05:08,UCaY_7NTfSMz7CoO2sdnjTpw,leo ana,292,874,21,0,TRUE
Kr5-9lJN-jU,https://www.youtube.com/watch?v=Kr5-9lJN-jU,"DPR Murka Oknum Brimob Lindas Driver Ojol, Habiburokhman Desak Pelaku Dihukum Tegas",2025-08-29T06:05:04Z,8/29/2025,13:05:04,UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews,14900000,7090,41,226,FALSE
M8vQPcYfMxE,https://www.youtube.com/watch?v=M8vQPcYfMxE,rekaman visual oleh mobil polisi  tabrak atas nama ojol affan ini maju tapi harus mundur kenapa maju,2025-08-29T06:04:12Z,8/29/2025,13:04:12,UCUmlkO4TFCkl5Eikmph6Ukg,Awaluddin Mustofa ,663,770,11,8,TRUE
eareAgKOWu0,https://www.youtube.com/watch?v=eareAgKOWu0,SELAMAT JALAN ORANG BAIK #ojol #demo25agustus #korbantewas,2025-08-29T06:03:07Z,8/29/2025,13:03:07,UCfmbLes4oSLJOBRoflRolsg,BANG OBA,3520,1014,6,0,TRUE
Qekp3eL8dHQ,https://www.youtube.com/watch?v=Qekp3eL8dHQ,pemakaman ojol #salamsatuaspal #ojol #shortvideo #shortviral #shorts,2025-08-29T06:03:01Z,8/29/2025,13:03:01,UC9whjpVrnCo3pMXcQzzphMA,Adederiel,3960,972,32,2,TRUE
ril6aqWTB3E,https://www.youtube.com/watch?v=ril6aqWTB3E,RIP OJOL kita doakan bersama ya #katahatimotivasi #demodpr #ojol #grab #gojek,2025-08-29T06:02:52Z,8/29/2025,13:02:52,UCBN0Xr09_vgcJ5t52m1PhHw,motivasicom,6,1175,8,2,TRUE
To2ws4JmDew,https://www.youtube.com/watch?v=To2ws4JmDew,Prabowo Ucapkan Belasungkawa Atas Tewasnya Pengemudi Ojol yang Dilindas Rantis Brimob,2025-08-29T06:01:23Z,8/29/2025,13:01:23,UC3QRoNY-nYDTNSv-1dR0P-g,Tempodotco,1740000,2661,50,56,FALSE
